id,filmid,url,title,year,genre,rating,description,img
1,sm1613230,https://www.film.ru/movies/pobeg-iz-shoushenka,Побег из Шоушенка,1994,драма,9.3,"Банкира Энди Дюфрейна обвиняют в убийстве жены и её любовника и отправляют в тюрьму под названием Шоушенк. Там он попадает в сети жестокости и беззакония, которые царят с двух сторон от решётки. Но благодаря своей находчивости и доброму сердцу, он находит способ выжить в этом рабстве. А вместе с тем начинает разрабатывать план побега.",filmPoster/sm1613230_1613230-1436375.jpg
2,sm50594144,https://www.film.ru/movies/beri-da-pomni,Бери да помни,2023,комедия,,"Ильхаму (Юнус Таиров) всего шесть: он пока не знает, как поверить в чудо, но уже пробовал бузу и общается со всей деревней Малая мечта. Еще Ильхам не знает, где находится загадочный «тот свет», куда отправились его родители, — так сказал бабай (Рабит Батулла), то есть дедушка на татарском. И бабушка (Роза Хайруллина) почему-то истошно плачет на кухне.",filmPoster/sm50594144_50594144-2592048.jpeg
3,sm1612526,https://www.film.ru/movies/kriminalnoe-chtivo,Криминальное чтиво,1994,драма,8.9,"Знаковый фильм Квентина Тарантино в новом ремастированном качестве
Черная комедия Квентина Тарантино рассказывает о криминальных буднях двух бандитов - Винсента Вега и Джулса Винфилда. Они проводят время в философских беседах в перерыве между разборками и ""решением проблем"" с должниками своего криминального босса Марселласа Уоллеса. Параллельно разворачивается три истории.
В одной из них Винсент не очень удачно присматривает за женой босса, другая рассказывает о боксере, нанятом Уоллесом, чтобы сдать бой, но обманувшим его. Третья история объединяет первые две - в кафе парочка молодых неудачливых грабителей - Пампкин и Хани Бани делают попытку ограбления, но Джулс останавливает их.",filmPoster/sm1612526_1612526-1436405.jpg
4,sm1626751,https://www.film.ru/movies/temnyy-rycar,Темный рыцарь,2008,боевик,9,"В кадре Всего за несколько дней жизнь в Готэм-сити превратилась в кошмар. Равновесие между криминальным миром с одной стороны, и усилиями Бэтмена, комиссара полиции Джеймса Гордона и нового прокурора Харви Дента по обузданию негодяев с другой, нарушил Джокер. Ограбив банк мафии, тот не только вышел сухим из воды, но и заключил с бандитами сделку - в обмен на уничтожение Бэтмена он получит половину преступных доходов города. Однако цель Джокера - тотальный хаос. Бэтмену придется сражаться не только с безумным клоуном и его бандой, но и с тьмой в сердцах добропорядочных обитателей города.
За кадром Главным событием, связанным с фильмом, стала, разумеется, трагическая смерть сыгравшего Джокера Хита Леджера вскоре после завершения съемок. Сам актер характеризовал своего героя как ""шизофренического клоуна с тягой к массовым убийствам, психопата без тени сострадания"". Цитаты ""Ты что такой серьезный?"". (Джокер) ""Ты либо умираешь героем, либо живешь, пока не становишься негодяем"". (Харви Дент) ""Бэтмен"" больше не комикс. ""Темный рыцарь"" Кристофера Нолана - фильм, преодолевший свое происхождение и ставший всепоглощающей трагедией"". (Роджер Эберт)",filmPoster/sm1626751_1626751-1583620.jpeg
5,sm1615732,https://www.film.ru/movies/molchanie-yagnyat,Молчание ягнят,1991,драма,8.6,"Психопат похищает и убивает молодых женщин по всему Среднему Западу. ФБР, уверенное, что все преступления совершены одним и тем же человеком, поручает агенту Клариссе Старлинг встретиться с заключенным-маньяком Ганнибалом Лектером, который мог бы помочь составить психологический портрет убийцы. Сам Лектер отбывает наказание за убийства и каннибализм. Он согласен помочь Клариссе лишь в том случае, если она попотчует его больное воображение подробностями своей личной жизни.",filmPoster/sm1615732_1615732-2421168.jpg
6,sm1610353,https://www.film.ru/movies/vlastelin-kolec-dve-kreposti,Властелин Колец: Две Крепости,2002,боевик,8.8,"Братство распалось, но поход в недра Мордора для Фродо и Сэма продолжается. Их проводником становится Голлум, который преследует собственные корыстные мотивы. В это время Арагорн, Леголас и Гимли идут по следам урук-хаев, похитивших Мэрри и Пиппина, но судьба приводит их в город людей Рохан. Вскоре их ждёт встреча со старым товарищем, который, как они думали, покинул их навсегда.",filmPoster/sm1610353_1610353-2260162.jpg
7,sm1610486,https://www.film.ru/movies/unesennye-prizrakami,Унесенные призраками,2001,мультфильмы,8.6,"Маленькая Тихиро вместе с мамой и папой переезжают в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней. Тихиро и ее родители проникли в мир, населенный древними богами и волшебными существами, которыми правит злая колдунья Юбаба. Она объясняет Тихиро, что всех новоприбывших обращают в животных, а потом забивают и съедают. Тех, кто избежал этой трагической участи, уничтожают, как только они оказываются бесполезными. К счастью, Тихиро находит союзника в лице загадочного Хаку. Чтобы оттянуть роковой день уничтожения, чтобы выжить в этом странном и опасном новом мире, населенном магическими существами, и полном загадочных видений, она должна стать полезной, должна работать. Тихиро прощается со своим разумом, воспоминаниями, даже со своим именем…",filmPoster/sm1610486_1610486-2204430.jpg
8,sm1615989,https://www.film.ru/movies/nazad-v-budushchee,Назад в будущее,1985,комедия,8.5,"Марти МакФлай, типичный американский тинейджер восьмидесятых, попадает в 1955 год на машине времени, изобретенной его другом, чокнутым гением Эмметом Брауном. Теперь Марти должен одеваться в стиле 50-х и слушать хиты того времени. А чтобы вернуться назад в будущее, Марти нужно удостовериться, что его родители, пока еще тинейджеры, познакомятся и полюбят друг друга.",filmPoster/sm1615989_1615989-1436382.jpg
9,sm1703315,https://www.film.ru/movies/interstellar,Интерстеллар,2014,драма,8.7,"Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.",filmPoster/sm1703315_1703315-1693637.jpeg
10,sm1614039,https://www.film.ru/movies/leon,Леон,1994,драма,8.5,"Профессиональный убийца Леон, не знающий пощады и жалости, знакомится со своей очаровательной соседкой Матильдой, семью которой расстреливают полицейские, замешанные в торговле наркотиками. Благодаря этому знакомству он впервые испытывает чувство любви, но…",filmPoster/sm1614039_1614039-1175804.jpg
11,sm43045987,https://www.film.ru/movies/parasite,Паразиты,2019,драма,8.5,"Бедная семья Ги-тхэка — сборище бездельников и неудачников: неглупый сын Ки-ву не может накопить денег на учёбу, дочь Ки-джон по той же причине бросила школу, сам отец и его жена Чонг-сук перебиваются случайными заработками и мечтают о лучшей жизни (как минимум о переезде из полуподвальной квартиры, откуда видно только ноги прохожих и норовящих помочиться у стены пьянчуг). Из всех них везёт в итоге Ки-ву — его друг-студент уезжает в другую страну и предлагает приятелю взяться за свою подопечную из богатой семьи, которой он на дому преподавал английский язык.
Ки-ву, конечно, хватается за возможность, придумывает себе прошлое посолиднее и втирается в доверие к богачам — вскоре он посоветует им нанять для младшего сына учителя по рисованию (учителем, конечно же, окажется его сестра), и вместе они начнут осуществлять захватнический план по переезду всей семьи к новым работодателям.",filmPoster/sm43045987_43045987-2232431.jpg
12,sm1623083,https://www.film.ru/movies/princessa-mononoke,Принцесса Мононоке,1997,мультфильмы,8.3,"Юный принц Ашитака, убив вепря, навлек на себя смертельное проклятие. Старая знахарка предсказала ему, что только он сам способен изменить свою судьбу. И отважный воин отправился в опасное путешествие. Так он оказался в загадочной стране, где люди под предводительством злой госпожи Эбоши воевали с обитателями леса: духами, демонами и гигантскими существами, каких Ашитака раньше никогда не видел. И была с ними принцесса Мононоке - повелительница зверей и дочь волчицы. Теперь судьба всех зависит только от одного воина - принца Ашитаки…",filmPoster/sm1623083_1623083-2204337.jpeg
13,sm1623006,https://www.film.ru/movies/krasota-po-amerikanski,Красота по-американски,1999,драма,8.3,"Лестер Бернэм переживает кризис среднего возраста. Его не уважают и не ценят на работе, а от счастливой семьи осталась лишь видимость. У жены Кэролайн страстный роман с коллегой по работе, а угрюмая дочь-подросток Джейн увлечена соседским парнем, побывавшим в психиатрической больнице. Терзаемый душевными муками Лестер впадает в депрессию. Но неожиданно для себя влюбляется в одноклассницу дочери Анджелу, и эта страсть дает Лестеру мощный жизненный импульс. Он ощущает прилив сил и желаний и готов снова радоваться красоте.",filmPoster/sm1623006_1623006-1436407.jpg
